Date,Value
20001,1.27
20002,1.076
20003,-0.451
20004,-0.279
20005,0.969
20006,0.586
20007,-0.649
20008,0.144
20009,0.395
200010,0.317
200011,-1.581
200012,-2.354
20011,-0.959
20012,-0.622
20013,-1.687
20014,0.906
20015,0.452
20016,-0.015
20017,-0.031
20018,0.521
20019,-0.707
200110,0.707
200111,0.819
200112,-1.322
20021,1.381
20022,1.304
20023,0.902
20024,0.748
20025,0.401
20026,0.573
20027,0.328
20028,-0.229
20029,-0.043
200210,-1.489
200211,-1.425
200212,-1.592
20031,-0.472
20032,0.128
20033,0.933
20034,-0.178
20035,1.017
20036,-0.102
20037,0.075
20038,-0.28
20039,0.467
200310,-0.67
200311,0.642
200312,0.265
20041,-1.686
20042,-1.528
20043,0.318
20044,-0.409
20045,-0.094
20046,-0.236
20047,-0.201
20048,-0.72
20049,0.855
200410,-0.515
200411,0.678
200412,1.23
20051,0.356
20052,-1.271
20053,-1.348
20054,-0.046
20055,-0.763
20056,-0.383
20057,-0.03
20058,0.026
20059,0.802
200510,0.03
200511,0.228
200512,-2.104
20061,-0.17
20062,-0.156
20063,-1.604
20064,0.138
20065,0.156
20066,1.071
20067,0.103
20068,-0.265
20069,0.606
200610,-1.029
200611,0.521
200612,2.282
20071,2.034
20072,-1.307
20073,1.182
20074,0.544
20075,0.894
20076,-0.555
20077,-0.397
20078,-0.034
20079,0.179
200710,0.383
200711,-0.519
200712,0.821
20081,0.819
20082,0.938
20083,0.586
20084,-0.455
20085,-1.205
20086,-0.09
20087,-0.48
20088,-0.08
20089,-0.327
200810,1.676
200811,0.092
200812,0.648
20091,0.8
20092,-0.672
20093,0.121
20094,0.973
20095,1.194
20096,-1.351
20097,-1.356
20098,-0.054
20099,0.875
200910,-1.54
200911,0.459
200912,-3.413
20101,-2.587
20102,-4.266
20103,-0.432
20104,-0.275
20105,-0.919
20106,-0.013
20107,0.435
20108,-0.117
20109,-0.865
201010,-0.467
201011,-0.376
201012,-2.631
20111,-1.683
20112,1.575
20113,1.424
20114,2.275
20115,-0.035
20116,-0.858
20117,-0.472
20118,-1.063
20119,0.665
201110,0.8
201111,1.459
201112,2.221
20121,-0.22
20122,-0.036
20123,1.037
20124,-0.035
20125,0.168
20126,-0.672
20127,0.168
20128,0.014
20129,0.772
201210,-1.514
201211,-0.111
201212,-1.749
20131,-0.61
20132,-1.007
20133,-3.185
20134,0.322
20135,0.494
20136,0.549
20137,-0.011
20138,0.154
20139,-0.461
201310,0.263
201311,2.029
201312,1.475
20141,-0.969
20142,0.044
20143,1.206
20144,0.972
20145,0.464
20146,-0.507
20147,-0.489
20148,-0.372
20149,0.102
201410,-1.134
201411,-0.53
201412,0.413
20151,1.092
20152,1.043
20153,1.837
20154,1.216
20155,0.763
20156,0.427
20157,-1.108
20158,-0.689
20159,-0.165
201510,-0.25
201511,1.945
201512,1.444
20161,-1.449
20162,-0.024
20163,0.28
20164,-1.051
20165,-0.036
20166,0.313
20167,0.085
20168,0.472
20169,0.781
201610,-1.917
201611,-0.611
201612,1.786
20171,0.942
20172,0.34
20173,1.365
20174,-0.089
20175,-0.73
20176,0.402
20177,0.634
20178,0.15
20179,-0.492
201710,0.69
201711,-0.078
201712,-0.059
20181,-0.281
20182,0.113
20183,-0.941
20184,0.544
20185,1.18
20186,0.38
20187,0.612
20188,0.836
20189,0.585
201810,0.413
201811,-1.116
201812,0.11
20191,-0.713
20192,1.149
20193,2.116
20194,-0.255
20195,-1.231
20196,-0.601
20197,-0.89
20198,-0.722
20199,0.306
201910,-0.082
201911,-1.193
201912,0.412
