Date,Value
20001,-2.13
20002,-1.22
20003,-0.65
20004,-0.64
20005,-0.86
20006,-0.66
20007,-1.45
20008,-1.74
20009,-1.55
200010,-1.67
200011,-1.06
200012,0.06
20011,0.64
20012,0.05
20013,-0.3
20014,-1.23
20015,-1.1
20016,-1.28
20017,-2.31
20018,-1.86
20019,-2.13
200110,-1.87
200111,-1.17
200112,-0.99
20021,-0.34
20022,-1.29
20023,-1.13
20024,-1.23
20025,-1.57
20026,-1.27
20027,-0.97
20028,-0.15
20029,-0.38
200210,-0.25
200211,1.04
200212,1.63
20031,1.58
20032,1.32
20033,1.08
20034,0.32
20035,0.06
20036,-0.51
20037,0.11
20038,0.4
20039,-0.46
200310,0.54
200311,-0.19
200312,-0.41
20041,-0.42
20042,-0.11
20043,-0.13
20044,-0.2
20045,0.23
20046,-0.49
20047,-0.24
20048,0.02
20049,-0.17
200410,-0.76
200411,-1.24
200412,-0.74
20051,-0.13
20052,0.17
20053,0.69
20054,0.21
20055,1.06
20056,0.56
20057,-0.2
20058,-0.61
20059,-1.11
200510,-2.05
200511,-1.84
200512,-0.1
20061,0.54
20062,0.38
20063,-0.72
20064,-0.55
20065,-0.45
20066,-0.04
20067,0.12
20068,-1.13
20069,-1.75
200610,-0.6
200611,-0.83
200612,-0.54
20071,-0.63
20072,-0.63
20073,-1.05
20074,-0.56
20075,-0.53
20076,-0.37
20077,0.16
20078,-0.15
20079,-1.04
200710,-2.24
200711,-1.38
200712,-0.92
20081,-1.47
20082,-1.33
20083,-1.26
20084,-2
20085,-1.93
20086,-2.11
20087,-2.17
20088,-2
20089,-2.02
200810,-1.8
200811,-1.57
200812,-1.31
20091,-1.7
20092,-1.76
20093,-2.03
20094,-2.28
20095,-1.45
20096,-0.85
20097,-0.88
20098,-0.5
20099,0.19
200910,-0.23
200911,-1.01
200912,-0.52
20101,0.06
20102,0.16
20103,-0.21
20104,-0.27
20105,-0.35
20106,-0.93
20107,-2.17
20108,-2.44
20109,-2.44
201010,-1.61
201011,-1.58
201012,-2
20111,-1.73
20112,-1.45
20113,-1.29
20114,-1.26
20115,-0.96
20116,-1.32
20117,-2.5
20118,-2.6
20119,-2.63
201110,-1.95
201111,-2.96
201112,-2.32
20121,-1.72
20122,-1.26
20123,-1.59
20124,-0.94
20125,-2
20126,-1.42
20127,-2.33
20128,-2.5
20129,-3.04
201210,-1.22
201211,-0.59
201212,-1.25
20131,-0.94
20132,-1.31
20133,-1.17
20134,-0.62
20135,-0.41
20136,-1.26
20137,-1.77
20138,-1.77
20139,-1.09
201310,-1.9
201311,-1.18
201312,-1.15
20141,-0.59
20142,-0.42
20143,0.29
20144,0.42
20145,1.1
20146,-0.31
20147,0.15
20148,0
20149,0.58
201410,1.34
201411,1.35
201412,1.96
20151,1.71
20152,1.76
20153,1.52
20154,0.95
20155,0.32
20156,0.73
20157,1.27
20158,0.75
20159,0.86
201510,0.77
201511,0.17
201512,0.52
20161,0.81
20162,1.26
20163,1.57
20164,1.65
20165,1.5
20166,0.83
20167,0.18
20168,-0.88
20169,-1.06
201610,-0.61
201611,0.85
201612,0.57
20171,0.13
20172,0.08
20173,0.15
20174,0.55
20175,0.27
20176,0.18
20177,-0.49
20178,-0.63
20179,-0.26
201710,-0.63
201711,-0.45
201712,-0.12
20181,0.34
20182,-0.14
20183,-0.61
20184,-0.88
20185,-0.69
20186,-0.85
20187,-0.09
20188,-0.44
20189,-0.47
201810,-0.74
201811,-0.78
201812,-0.08
20191,-0.18
20192,-0.5
20193,-0.23
20194,0.11
20195,0.17
20196,-0.11
20197,0.44
20198,-0.14
20199,0.05
201910,-0.96
201911,-0.3
201912,0.02
